eagles,NFC,East,1
cowboys,NFC,East,2
giants,NFC,East,3,MetLife
redskins,NFC,East,4
patriots,AFC,East,1
bills,AFC,East,2
jets,AFC,East,3,MetLife
dolphins,AFC,East,4
texans,AFC,South,1
titans,AFC,South,2
colts,AFC,South,3
jaguars,AFC,South,4
saints,NFC,South,1
falcons,NFC,South,2
buccaneers,NFC,South,3
panthers,NFC,South,4
Chiefs,AFC,West,1,Arrowhead
Broncos,AFC,West,2,SportsAuthority
Raiders,AFC,West,3
Chargers,AFC,West,4
Packers,NFC,North,1
Vikings,NFC,North,2
Bears,NFC,North,3
Lions,NFC,North,4
49ers,NFC,West,1
Seahawks,NFC,West,2
Rams,NFC,West,3
Cardinals,NFC,West,4
Ravens,AFC,North,1
Steelers,AFC,North,2
Browns,AFC,North,3
Bengals,AFC,North,4
